avgLineLength,stdDevLineLength,maxDecisionTokens,numLiteralsDensity,nestingDepth,maxDepthASTNode,branchingFactor,avgParams,stdDevNumParams,avgFunctionLength,avgIdentifierLength,nttf_Module,nttf_FunctionDef,nttf_Assign,nttf_For,nttf_Expr,nttf_arguments,nttf_Name,nttf_Call,nttf_List,nttf_Subscript,nttf_Attribute,nttf_Tuple,nttf_ListComp,nttf_comprehension,ntad_Module,ntad_FunctionDef,ntad_Assign,ntad_For,ntad_Expr,ntad_arguments,ntad_Name,ntad_Call,ntad_List,ntad_Subscript,ntad_Attribute,ntad_Tuple,ntad_ListComp,ntad_comprehension,numKeywordsDensity,def_Density,for_Density,in_Density,sloc,numVariablesDensity,numFunctionsDensity,numInputStmtsDensity,numAssignmentStmtDensity,numFunctionCallsDensity,numStatementsDensity,numClassesDensity,cyclomaticComplexity,maintainabilityIndex,ntad_DictComp,nttf_keyword,nttf_Set,nttf_ClassDef,nttf_ExceptHandler,while_Density,nttf_Starred,yield_Density,elif_Density,break_Density,nttf_While,nttf_BoolOp,nttf_Compare,class_Density,nttf_SetComp,ntad_Return,nttf_JoinedStr,nttf_UnaryOp,from_Density,nttf_Import,True_Density,nttf_FormattedValue,nttf_IfExp,is_Density,ntad_ImportFrom,ntad_Starred,ntad_Try,ntad_UnaryOp,ntad_While,pass_Density,ntad_ExceptHandler,nttf_Return,nttf_Yield,ntad_BoolOp,nttf_DictComp,import_Density,try_Density,nttf_ImportFrom,None_Density,except_Density,ntad_JoinedStr,nttf_Try,nttf_Lambda,ntad_Lambda,ntad_Compare,ntad_IfExp,nttf_arg,ntad_arg,ntad_Import,return_Density,ntad_Delete,nttf_If,ntad_GeneratorExp,nttf_GeneratorExp,not_Density,continue_Density,global_Density,ntad_ClassDef,ntad_SetComp,ntad_Yield,ntad_If,nttf_BinOp,nttf_AugAssign,ntad_FormattedValue,ntad_Dict,ntad_Set,else_Density,and_Density,if_Density,ntad_Slice,ntad_keyword,nttf_Slice,or_Density,nttf_Delete,nttf_Dict,False_Density,del_Density,lambda_Density,as_Density,ntad_AugAssign,ntad_BinOp,filename,label
20.0,8.39,10,0.62,5,10,1.82,0.0,0,0.0,2.22,1,0,10,3,3,0,48,11,0,3,0,4,0,0,0.0,0,2.7,2.0,3.0,0,4.96,3.27,0,6.67,0,3.5,0,0,0.62,0,0.12,0.12,24,0.33,0.0,0.12,0.42,0.46,0.92,0.0,11,52.925655490429264,0,0,0,0,0,0,0,0,0.04,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67,0,0,0,0,0,0,0,0,0,0,5.43,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3.5,0,2,0,0,0,0.08,0.08,0.12,0,0,0,0.04,0,0,0,0,0,0,5.5,0,human_BINOP_1.py,0
16.67,11.29,6,0.42,2,10,1.71,0.0,0,0.0,2.5,1,0,6,3,2,0,33,12,1,2,3,1,0,0,0.0,0,1.33,1.33,1.5,0,3.91,3.75,2.0,4.5,5.0,2.0,0,0,0.5,0,0.25,0.25,12,0.33,0.0,0.17,0.5,1.0,1.0,0.0,4,63.80325237144945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,human_RRMTRX2_2.py,0
21.89,5.11,9,0.33,3,9,1.66,0.0,0,0.0,2.67,1,0,4,2,1,0,26,12,1,4,2,0,0,0,0.0,0,1.75,1.5,2.0,0,4.69,3.58,3.0,5.5,4.0,0,0,0,0.56,0,0.22,0.22,9,0.44,0.0,0.33,0.44,1.33,1.0,0.0,4,70.30954116963326,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,0,1,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,4.0,0,ai_FLIP_1.py,1
17.21,4.37,9,0.43,4,8,1.74,0.0,0,0.0,2.64,1,0,6,1,1,0,28,8,0,3,0,0,0,0,0.0,0,1.83,1.0,2.0,0,4.21,2.88,0,5.33,0,0,0,0,0.36,0,0.07,0.07,14,0.43,0.0,0.29,0.43,0.57,1.0,0.0,5,61.76233669061107,0,0,0,0,0,0.07,0,0,0.07,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3.5,0,3,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,4.0,0,ai_EXAM1_2.py,1
32.29,30.93,35,1.14,2,9,1.75,0.0,0,0.0,3.71,1,0,2,1,2,0,16,12,0,3,6,0,0,0,0.0,0,1.5,1.0,3.0,0,5.12,4.17,0,6.0,5.33,0,0,0,0.86,0,0.14,0.14,7,0.29,0.0,0.29,0.29,1.71,0.86,0.0,5,69.58434953038639,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0.14,0,0.14,0,0,0,0.29,0,0,0,0,0,0,0,0,ai_CHCUBE_1.py,1
20.95,8.23,11,1.14,8,14,1.86,1.0,0,17.0,4.78,1,1,2,1,1,1,35,15,0,0,0,0,0,0,0.0,1.0,2.0,1.0,2.0,2.0,7.26,6.0,0,0,0,0,0,0,0.9,0.05,0.05,0.05,21,0.1,0.05,0.1,0.1,0.71,0.95,0.0,9,52.20021806917625,0,0,0,0,0,0,0,0,0.29,0,0,0,7,0,0,6.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0.38,0,7,0,0,0,0,0,0,0,0,5.0,17,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0,0,8.06,human_ANKTRAIN_2.py,0
31.92,15.68,21,0.31,4,9,1.72,0.0,0,0.0,4.38,1,0,16,4,3,0,85,27,5,10,5,2,1,1,0.0,0,2.81,2.0,2.67,0,5.16,4.3,3.6,5.8,5.4,3.5,3.0,4.0,0.54,0,0.19,0.19,26,0.38,0.0,0.19,0.62,1.04,1.0,0.0,10,52.89970692693744,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3.5,4,1,0,0,0,0,0.08,0.08,0,0,0,0,0,0,0,0,0,0,4.0,3.25,ai_GCAC_1.py,1
20.32,7.65,11,0.48,4,9,1.79,0.0,0,0.0,2.92,1,0,5,1,3,0,31,14,0,2,3,1,0,0,0.0,0,2.6,1.0,4.0,0,4.9,4.29,0,5.0,6.0,3.0,0,0,0.52,0,0.05,0.05,21,0.14,0.0,0.14,0.24,0.67,0.86,0.0,6,57.35780059290962,0,0,0,0,0,0.05,0,0,0,0.05,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,2,0,0,0,0.1,0,0,0,0,3.5,0,3,0,0,0,0.14,0,0.1,0,0,0,0,0,0,0,0,0,0,4.0,0,human_CHEFNWRK_2.py,0
23.67,8.0,11,0.6,5,10,1.81,0.0,0,0.0,2.87,1,0,4,4,2,0,39,13,1,4,2,1,0,0,0.0,0,2.0,2.0,2.5,0,5.36,3.69,3.0,7.5,5.0,3.0,0,0,0.7,0,0.2,0.2,20,0.15,0.0,0.15,0.2,0.65,0.85,0.0,8,56.305295197297895,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.67,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4.67,2,4,0,0,0,0.15,0,0.15,0,0,0,0,0,0,0,0,0,0,6.0,6.5,human_GIT01_1.py,0
22.0,15.07,35,0.92,3,13,1.71,0.0,0,0.0,3.0,1,0,2,1,4,0,30,17,0,6,0,0,0,0,0.0,0,1.5,1.0,4.0,0,6.83,6.12,0,5.33,0,0,0,0,0.62,0,0.08,0.08,13,0.15,0.0,0.15,0.15,1.31,0.77,0.0,5,60.61353791833831,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2.67,6,0,0,0,0,0.23,0,0.23,6.33,0,6,0,0,0,0,0,0,0,0,7.67,human_HHAL_1.py,0
18.22,7.01,6,0.22,1,9,1.61,0.0,0,0.0,2.64,1,0,6,1,2,0,30,15,0,2,2,0,0,0,0.0,0,1.83,1.0,2.0,0,4.27,3.73,0,3.0,5.0,0,0,0,0.22,0,0.11,0.11,9,0.56,0.0,0.33,0.67,1.67,1.0,0.0,2,68.89275447013493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,human_IOPC17C_2.py,0
28.32,14.0,23,0.7,6,11,1.87,0.0,0,0.0,2.77,1,0,6,4,2,0,52,15,1,6,3,1,0,0,0.0,0,4.33,2.0,2.5,0,6.46,4.4,3.0,8.17,6.0,3.0,0,0,1.09,0,0.17,0.17,23,0.09,0.0,0.13,0.26,0.65,0.96,0.0,17,50.564220909389455,0,0,0,0,0,0,0,0,0.04,0.17,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0,0,0,0,0,0,0,6.75,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5.0,4,0,0,0,0,0.04,0.04,0.22,0,0,0,0.22,0,0,0,0,0,0,0,8.0,human_REACTION_1.py,0
25.06,10.43,23,0.94,6,14,1.91,0.0,0,0.0,3.36,1,0,10,3,5,0,64,14,0,10,0,0,0,0,0.0,0,4.6,3.0,4.4,0,7.53,4.5,0,8.0,0,0,0,0,0.87,0,0.1,0.1,31,0.13,0.0,0.06,0.32,0.45,0.94,0.0,15,46.4846846301796,0,0,0,0,0,0,0,0,0.03,0.06,0,2,9,0,0,0,0,0,0,0,0.06,0,1,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,6.44,6.0,0,0,0,0,0,8,0,0,0,0.03,0,0,0,0,4.38,18,0,0,0,0,0.1,0,0.26,9.0,0,2,0.06,0,0,0.06,0,0,0,0,9.0,human_CHEFSPL_2.py,0
19.6,12.59,11,0.46,2,10,1.75,2.0,0,4.0,2.6,1,1,5,2,1,1,35,12,0,0,2,1,0,0,0.0,1.0,2.4,1.5,2.0,2.0,5.03,4.25,0,0,6.0,3.0,0,0,0.69,0.08,0.15,0.15,13,0.15,0.08,0.15,0.38,0.92,0.92,0.0,4,60.24840583254029,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0.15,0,1,0,0,0,0,0,0,0,0,2.0,10,0,0,0,0,0.08,0,0.08,0,0,0,0,0,0,0,0,0,0,0,4.9,human_RESIST_2.py,0
26.45,14.93,9,0.4,3,8,1.58,0.0,0,0.0,4.5,1,0,3,1,3,0,27,12,0,0,1,1,2,3,0.0,0,1.0,1.0,3.67,0,4.52,3.83,0,0,4.0,2.0,2.0,4.0,1.2,0,0.4,0.5,10,0.2,0.0,0.3,0.3,1.2,0.9,0.0,7,68.90788014410296,0,0,0,0,0,0,0,0,0.1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,2,5.0,1,0,0,0,0,0,0,2.5,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,ai_LUCKYSTR_1.py,1
27.29,16.84,6,0.69,4,14,1.77,0.0,0,11.0,3.46,1,1,6,1,2,0,35,15,0,6,3,1,0,0,0.0,1.0,3.0,2.0,3.0,0,6.4,5.27,0,7.83,5.33,3.0,0,0,0.46,0.08,0.08,0.08,13,0.23,0.08,0.23,0.46,1.15,0.92,0.0,4,60.797894060764456,0,0,0,0,0,0,0,0,0.08,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3.5,7,0,0,0,0,0.08,0,0.08,0,0,0,0,0,0,0,0,0,0,0,7.29,ai_ROTATION_2.py,1
19.38,7.44,12,1.12,1,8,1.81,0.0,0,0.0,2.9,1,0,4,2,2,0,20,8,1,2,1,0,0,0,0.0,0,1.25,1.0,2.0,0,3.75,2.75,2.0,5.0,4.0,0,0,0,0.5,0,0.25,0.25,8,0.5,0.0,0.25,0.5,1.0,1.0,0.0,3,66.57105761665643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,ai_MATHL_1.py,1
28.0,14.69,6,0.12,4,10,1.67,2.0,0,9.0,4.17,1,1,7,3,3,2,51,16,1,2,3,4,1,1,0.0,1.0,2.14,2.0,2.0,4.5,4.69,4.0,2.0,5.5,5.33,3.75,3.0,4.0,0.65,0.06,0.24,0.24,17,0.24,0.06,0.18,0.41,0.94,1.0,0.0,6,61.98991082918253,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.0,5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.0,0,2,0,0,0,0,0,0.06,0,5.0,0,0,0,0,0,0,0.06,0,5.0,0,ai_CHRL1_2.py,1
21.95,14.31,14,1.1,6,11,1.96,0.0,0,0.0,2.55,1,0,10,2,1,0,44,8,0,4,0,0,0,0,0.0,0,3.3,1.5,2.0,0,5.64,2.88,0,7.5,0,0,0,0,0.76,0,0.1,0.1,21,0.29,0.0,0.14,0.48,0.38,1.0,0.0,15,51.68614344984625,0,0,0,0,0,0,0,0,0.14,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4.5,0,4,0,0,0,0,0.38,0.05,0,0,0,0,0,0,0,0,0,0,5.5,0,human_GIFTSRC_2.py,0
21.0,14.73,6,1.06,3,13,1.9,2.0,0,7.0,2.83,1,1,7,1,2,1,35,9,0,0,0,0,0,0,0.0,1.0,2.29,1.0,3.0,2.0,5.26,4.33,0,0,0,0,0,0,0.5,0.06,0.06,0.06,16,0.38,0.06,0.12,0.44,0.56,0.94,0.0,5,55.44286110309498,0,0,0,0,0,0.06,0,0,0,0,1,0,2,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0.06,0,2,0,0,0,0,0,0,0,0,2.5,19,0,0,0,0,0.06,0,0.12,0,0,0,0,0,0,0,0,0,0,0,5.84,ai_TAPALIN_1.py,1
21.56,12.18,6,0.41,3,9,1.69,0.0,0,0.0,3.47,1,0,5,2,3,0,36,14,0,0,1,0,0,0,0.0,0,1.8,1.5,3.67,0,4.75,4.21,0,0,6.0,0,0,0,0.53,0,0.12,0.12,17,0.29,0.0,0.18,0.29,0.82,0.88,0.0,6,60.77619817513664,0,0,0,0,0,0,0,0,0.06,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2.67,0,2,0,0,0,0.12,0,0.12,0,0,0,0,0,0,0,0,0,0,4.0,0,human_CHNUM_2.py,0
22.16,9.8,13,0.55,5,9,1.75,0.6,0.89,1.8,3.28,1,5,15,2,9,2,86,36,1,5,2,1,0,0,0.0,1.0,3.27,1.5,4.44,2.0,5.5,4.67,7.0,7.0,5.5,4.0,0,0,0.98,0.1,0.04,0.04,51,0.18,0.1,0.06,0.29,0.71,1.02,0.0,15,44.71878206770441,0,0,0,0,0,0,0,0,0.06,0,0,1,9,0,0,2.4,0,1,0.14,0,0,0,3,0,1.0,0,0,2.0,0,0,0,5,0,4.0,0,0.14,0,7,0.04,0,0,0,1,3.0,4.67,5.0,0,0,0,0.1,0,8,0,0,0,0.02,0,0,0,0,3.5,0,0,0,0,0,0.12,0,0.16,0,0,0,0.02,0,0,0,0,0.02,0,0,0,human_WATCHFB_2.py,0
23.91,14.68,19,0.77,3,10,1.85,0.0,0,0.0,2.53,1,0,8,3,3,0,66,18,3,20,5,4,1,1,0.0,0,1.88,1.0,1.67,0,5.24,3.56,2.67,6.5,4.8,2.25,4.0,5.0,0.73,0,0.18,0.18,22,0.23,0.0,0.18,0.36,0.82,0.91,0.0,11,53.05993664186139,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,4.33,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2.5,2,2,0,0,0,0.09,0.09,0.18,0,0,0,0,0,0,0,0,0,0,4.0,5.0,human_MIKE1_1.py,0
